sampling,model,embedding_dim,hit@10
Uniform,MF,8,0.5246049661399549
Uniform,MF,16,0.5423024830699774
Uniform,MF,32,0.5057336343115124
Uniform,MF,64,0.4241083521444695
Uniform,MLP,8,0.5197291196388262
Uniform,MLP,16,0.5535891647855531
Uniform,MLP,32,0.5783295711060948
Uniform,MLP,64,0.5695711060948081
Uniform,NeuMF,8,0.5130474040632054
Uniform,NeuMF,16,0.5324604966139955
Uniform,NeuMF,32,0.5079006772009029
Uniform,NeuMF,64,0.5249661399548533
Weighted,MF,8,0.2983295711060948
Weighted,MF,16,0.37914221218961625
Weighted,MF,32,0.3941309255079007
Weighted,MF,64,0.41227990970654627
Weighted,MLP,8,0.40252821670428895
Weighted,MLP,16,0.4398194130925508
Weighted,MLP,32,0.5100677200902934
Weighted,MLP,64,0.5980135440180587
Weighted,NeuMF,8,0.46835214446952594
Weighted,NeuMF,16,0.5130474040632054
Weighted,NeuMF,32,0.6143566591422122
Weighted,NeuMF,64,0.7849209932279909
