path,text,emotion
archive\Actor_01\03-01-01-01-01-01-01.wav, kids are talking by the door.,1
archive\Actor_01\03-01-01-01-01-02-01.wav, kids are talking by the door.,1
archive\Actor_01\03-01-01-01-02-01-01.wav, dogs are sitting by the door.,1
archive\Actor_01\03-01-01-01-02-02-01.wav, dogs are sitting by the door.,1
archive\Actor_01\03-01-02-01-01-01-01.wav, kids are talking by the door.,2
archive\Actor_01\03-01-02-01-01-02-01.wav, kids are talking by the door.,2
archive\Actor_01\03-01-02-01-02-01-01.wav, dogs are sitting by the door.,2
archive\Actor_01\03-01-02-01-02-02-01.wav, dogs are sitting by the door.,2
archive\Actor_01\03-01-02-02-01-01-01.wav, kids are talking by the door.,2
archive\Actor_01\03-01-02-02-01-02-01.wav, kids are talking by the door.,2
archive\Actor_01\03-01-02-02-02-01-01.wav, dogs are sitting by the door.,2
archive\Actor_01\03-01-02-02-02-02-01.wav, dogs are sitting by the door.,2
archive\Actor_01\03-01-03-01-01-01-01.wav, kids are talking by the door.,3
archive\Actor_01\03-01-03-01-01-02-01.wav, kids are talking by the door.,3
archive\Actor_01\03-01-03-01-02-01-01.wav, dogs are sitting by the door.,3
archive\Actor_01\03-01-03-01-02-02-01.wav, dogs are sitting by the door.,3
archive\Actor_01\03-01-03-02-01-01-01.wav, kids are talking by the door.,3
archive\Actor_01\03-01-03-02-01-02-01.wav, kids are talking by the door.,3
archive\Actor_01\03-01-03-02-02-01-01.wav, dogs are sitting by the door.,3
archive\Actor_01\03-01-03-02-02-02-01.wav, dogs are sitting by the door.,3
archive\Actor_01\03-01-04-01-01-01-01.wav, kids are talking by the door.,4
archive\Actor_01\03-01-04-01-01-02-01.wav, kids are talking by the door.,4
archive\Actor_01\03-01-04-01-02-01-01.wav, dogs are sitting by the door.,4
archive\Actor_01\03-01-04-01-02-02-01.wav, dogs are sitting by the door.,4
archive\Actor_01\03-01-04-02-01-01-01.wav, kids are talking by the door.,4
archive\Actor_01\03-01-04-02-01-02-01.wav, kids are talking by the door.,4
archive\Actor_01\03-01-04-02-02-01-01.wav, dogs are sitting by the door.,4
archive\Actor_01\03-01-04-02-02-02-01.wav, dogs are sitting by the door.,4
archive\Actor_01\03-01-05-01-01-01-01.wav, kids are talking by the door.,5
archive\Actor_01\03-01-05-01-01-02-01.wav, kids are talking by the door.,5
archive\Actor_01\03-01-05-01-02-01-01.wav, dogs are sitting by the door.,5
archive\Actor_01\03-01-05-01-02-02-01.wav, dogs are sitting by the door.,5
archive\Actor_01\03-01-05-02-01-01-01.wav, kids are talking by the door!,5
archive\Actor_01\03-01-05-02-01-02-01.wav, kids are talking by the door.,5
archive\Actor_01\03-01-05-02-02-01-01.wav, dogs are sitting by the door.,5
archive\Actor_01\03-01-05-02-02-02-01.wav, dogs are sitting by the door!,5
archive\Actor_01\03-01-06-01-01-01-01.wav, kids are talking by the door.,6
archive\Actor_01\03-01-06-01-01-02-01.wav, kids are talking by the door.,6
archive\Actor_01\03-01-06-01-02-01-01.wav, dogs are sitting by the door.,6
archive\Actor_01\03-01-06-01-02-02-01.wav, dogs are sitting by the door.,6
archive\Actor_01\03-01-06-02-01-01-01.wav, kids talking by the door,6
archive\Actor_01\03-01-06-02-01-02-01.wav, kids are talking by the door.,6
archive\Actor_01\03-01-06-02-02-01-01.wav, dogs are sitting by the door.,6
archive\Actor_01\03-01-06-02-02-02-01.wav, st,6
archive\Actor_01\03-01-07-01-01-01-01.wav, kids are talking by the door.,7
archive\Actor_01\03-01-07-01-01-02-01.wav, kids are talking by the door.,7
archive\Actor_01\03-01-07-01-02-01-01.wav, dogs are sitting by the door.,7
archive\Actor_01\03-01-07-01-02-02-01.wav, dogs are sitting by the door.,7
archive\Actor_01\03-01-07-02-01-01-01.wav, kids are talking by the door.,7
archive\Actor_01\03-01-07-02-01-02-01.wav, kids are talking by the door.,7
archive\Actor_01\03-01-07-02-02-01-01.wav, oh dogs are sitting by the door.,7
archive\Actor_01\03-01-07-02-02-02-01.wav, dugs are sitting by the door.,7
archive\Actor_01\03-01-08-01-01-01-01.wav, kids are talking by the door.,8
archive\Actor_01\03-01-08-01-01-02-01.wav, kids are talking by the door.,8
archive\Actor_01\03-01-08-01-02-01-01.wav, dogs are sitting by the door.,8
archive\Actor_01\03-01-08-01-02-02-01.wav, dogs are sitting by the door.,8
archive\Actor_01\03-01-08-02-01-01-01.wav, kids are talking by the door.,8
archive\Actor_01\03-01-08-02-01-02-01.wav, kids are talking by the door.,8
archive\Actor_01\03-01-08-02-02-01-01.wav, dogs are sitting by the door.,8
archive\Actor_01\03-01-08-02-02-02-01.wav, dogs are sitting by the door.,8
archive\Actor_02\03-01-01-01-01-01-02.wav, kids are talking by the door.,1
archive\Actor_02\03-01-01-01-01-02-02.wav, kids are talking by the door.,1
archive\Actor_02\03-01-01-01-02-01-02.wav, dogs are sitting by the door.,1
archive\Actor_02\03-01-01-01-02-02-02.wav, dogs are sitting by the door.,1
archive\Actor_02\03-01-02-01-01-01-02.wav, kids are talking by the door.,2
archive\Actor_02\03-01-02-01-01-02-02.wav, kids are talking by the door.,2
archive\Actor_02\03-01-02-01-02-01-02.wav, dogs are sitting by the door.,2
archive\Actor_02\03-01-02-01-02-02-02.wav, dogs are sitting by the door.,2
archive\Actor_02\03-01-02-02-01-01-02.wav, kids are talking by the door.,2
archive\Actor_02\03-01-02-02-01-02-02.wav, kids are talking by the door.,2
archive\Actor_02\03-01-02-02-02-01-02.wav, dogs are sitting by the door.,2
archive\Actor_02\03-01-02-02-02-02-02.wav, dogs are sitting by the door.,2
archive\Actor_02\03-01-03-01-01-01-02.wav, kids are talking by the door.,3
archive\Actor_02\03-01-03-01-01-02-02.wav, kids are talking by the door.,3
archive\Actor_02\03-01-03-01-02-01-02.wav, dogs are sitting by the door.,3
archive\Actor_02\03-01-03-01-02-02-02.wav, dogs are sitting by the door.,3
archive\Actor_02\03-01-03-02-01-01-02.wav, kids are talking by the door.,3
archive\Actor_02\03-01-03-02-01-02-02.wav, kids are talking by the door.,3
archive\Actor_02\03-01-03-02-02-01-02.wav, dogs are sitting by the door.,3
archive\Actor_02\03-01-03-02-02-02-02.wav, dogs are sitting by the door.,3
archive\Actor_02\03-01-04-01-01-01-02.wav, kids are talking by the door.,4
archive\Actor_02\03-01-04-01-01-02-02.wav, kids are talking by the door.,4
archive\Actor_02\03-01-04-01-02-01-02.wav, dogs are sitting by the door.,4
archive\Actor_02\03-01-04-01-02-02-02.wav, dogs are sitting by the door.,4
archive\Actor_02\03-01-04-02-01-01-02.wav, kids are talking by the tour.,4
archive\Actor_02\03-01-04-02-01-02-02.wav, kids are talking by the door.,4
archive\Actor_02\03-01-04-02-02-01-02.wav, dogs are sitting by the door.,4
archive\Actor_02\03-01-04-02-02-02-02.wav, dogs are sitting by the door.,4
archive\Actor_02\03-01-05-01-01-01-02.wav, kids are talking by the door.,5
archive\Actor_02\03-01-05-01-01-02-02.wav, kids are talking by the door.,5
archive\Actor_02\03-01-05-01-02-01-02.wav, dogs are sitting by the door.,5
archive\Actor_02\03-01-05-01-02-02-02.wav, dogs are sitting by the door.,5
archive\Actor_02\03-01-05-02-01-01-02.wav, kids are talking by the door.,5
archive\Actor_02\03-01-05-02-01-02-02.wav, kids are talking by the door.,5
archive\Actor_02\03-01-05-02-02-01-02.wav, dogs are sitting by the door.,5
archive\Actor_02\03-01-05-02-02-02-02.wav, dogs are sitting by the door.,5
archive\Actor_02\03-01-06-01-01-01-02.wav, kids are talking by the door.,6
archive\Actor_02\03-01-06-01-01-02-02.wav, kids are talking by the door.,6
archive\Actor_02\03-01-06-01-02-01-02.wav, dogs are sitting by the door.,6
archive\Actor_02\03-01-06-01-02-02-02.wav, dogs are sitting by the door.,6
archive\Actor_02\03-01-06-02-01-01-02.wav, kids are talking by the tour.,6
archive\Actor_02\03-01-06-02-01-02-02.wav, kids are talking by the door.,6
archive\Actor_02\03-01-06-02-02-01-02.wav, toxic is sitting by the door.,6
archive\Actor_02\03-01-06-02-02-02-02.wav, talks are sitting by the door.,6
archive\Actor_02\03-01-07-01-01-01-02.wav, kids are talking by the door.,7
archive\Actor_02\03-01-07-01-01-02-02.wav, kids are talking by the door.,7
archive\Actor_02\03-01-07-01-02-01-02.wav, dogs are sitting by the door.,7
archive\Actor_02\03-01-07-01-02-02-02.wav, dogs are sitting by the door.,7
archive\Actor_02\03-01-07-02-01-01-02.wav, kids are talking by the door.,7
archive\Actor_02\03-01-07-02-01-02-02.wav, kids are talking by the door.,7
archive\Actor_02\03-01-07-02-02-01-02.wav, dogs are sitting by the door.,7
archive\Actor_02\03-01-07-02-02-02-02.wav, dogs are sitting by the door.,7
archive\Actor_02\03-01-08-01-01-01-02.wav," kids, you're talking by the door?",8
archive\Actor_02\03-01-08-01-01-02-02.wav, kids are talking by the door.,8
archive\Actor_02\03-01-08-01-02-01-02.wav, talks are sitting by the door.,8
archive\Actor_02\03-01-08-01-02-02-02.wav, dogs are sitting by the door.,8
archive\Actor_02\03-01-08-02-01-01-02.wav, kids are talking by the door.,8
archive\Actor_02\03-01-08-02-01-02-02.wav, kids are talking by the door.,8
archive\Actor_02\03-01-08-02-02-01-02.wav, dogs are sitting by the door.,8
archive\Actor_02\03-01-08-02-02-02-02.wav, dogs are sitting by the door.,8
archive\Actor_03\03-01-01-01-01-01-03.wav, kids are talking by the door.,1
archive\Actor_03\03-01-01-01-01-02-03.wav, kids are talking by the door.,1
archive\Actor_03\03-01-01-01-02-01-03.wav, dogs are sitting by the door.,1
archive\Actor_03\03-01-01-01-02-02-03.wav, dogs are sitting by the door.,1
archive\Actor_03\03-01-02-01-01-01-03.wav, kids are talking by the door.,2
archive\Actor_03\03-01-02-01-01-02-03.wav, kids are talking by the door.,2
archive\Actor_03\03-01-02-01-02-01-03.wav, dogs are sitting by the door.,2
archive\Actor_03\03-01-02-01-02-02-03.wav, dogs are sitting by the door.,2
archive\Actor_03\03-01-02-02-01-01-03.wav, kids are talking by the door.,2
archive\Actor_03\03-01-02-02-01-02-03.wav, kids are talking by the door.,2
archive\Actor_03\03-01-02-02-02-01-03.wav, dogs are sitting by the door.,2
archive\Actor_03\03-01-02-02-02-02-03.wav, dogs are sitting by the door.,2
archive\Actor_03\03-01-03-01-01-01-03.wav, kids are talking by the door,3
archive\Actor_03\03-01-03-01-01-02-03.wav, kids are talking by the door.,3
archive\Actor_03\03-01-03-01-02-01-03.wav, dogs are sitting by the door.,3
archive\Actor_03\03-01-03-01-02-02-03.wav, dogs are sitting by the door.,3
archive\Actor_03\03-01-03-02-01-01-03.wav, kids are talking by the door.,3
archive\Actor_03\03-01-03-02-01-02-03.wav, kids are talking by the door.,3
archive\Actor_03\03-01-03-02-02-01-03.wav, dogs are sitting by the door!,3
archive\Actor_03\03-01-03-02-02-02-03.wav, dogs are sitting by the door.,3
archive\Actor_03\03-01-04-01-01-01-03.wav, kids are talking by the door.,4
archive\Actor_03\03-01-04-01-01-02-03.wav, kids are talking by the door.,4
archive\Actor_03\03-01-04-01-02-01-03.wav, dogs are sitting by the door.,4
archive\Actor_03\03-01-04-01-02-02-03.wav, dogs are sitting by the door.,4
archive\Actor_03\03-01-04-02-01-01-03.wav, kids are talking by the door.,4
archive\Actor_03\03-01-04-02-01-02-03.wav, kids are talking by the door.,4
archive\Actor_03\03-01-04-02-02-01-03.wav, dogs are sitting by the door.,4
archive\Actor_03\03-01-04-02-02-02-03.wav, dogs are sitting by the door.,4
archive\Actor_03\03-01-05-01-01-01-03.wav, kids are talking by the door.,5
archive\Actor_03\03-01-05-01-01-02-03.wav, kids are talking by the door.,5
